"Contract #","Machine Serial #"
"103","152886"
"103","3204"
"103","3357."
"103","74399"
"103","76830 4254"
"119_","0660"
"120","2500/110"
"120","499D0410-2"
"120","69299"
"120","9683"
"120","MGX00116"
"128","23001983"
"128","5039"
"128","6223."
"128","6654"
"128","BY2668"
"128","CM4601"
"128","CP6018"
"128","CP6023"
"131","49150"
"131","50943"
"131","50946"
"131","6340"
"138","897069"
"139","055122"
"139","250"
"139","3731020"
"139","44418"
"139","46760"
"139","56468"
"139","700838"
"141",".../;"
"144","6524"
"146","100193"
"146","187670"
"146","27248"
"146","340040931712"
"146","36647"
"146","40098"
"146","9584"
"146","M23760"
"146","M25893."
"146","PE24"
"149",",.,.,."
"149","208121"
"149","8370"
"149","9771"
"149","A02131"
"149","A02134"
"149","EHO1504"
"149","MEY02322"
"149","MFY08167"
"149","NKG10937"
"151","010192"
"151","10-053"
"151","1021"
"151","105183"
"151","107930"
"151","107933"
"151","11074"
"151","1113061511"
"151","116655"
"151","11728"
"151","11735"
"151","11740"
"151","11742"
"151","126410"
"151","12672"
"151","140337"
"151","2064"
"151","206553"
"151","25170"
"151","3191"
"151","3355"
"151","3533"
"151","38100213"
"151","4377"
"151","4421"
"151","503709"
"151","6096"
"151","677916"
"151","7166"
"151","7948"
"151","8208"
"151","8838"
"151","9022"
"151","9444"
"151","9871"
"151","9884"
"151","A05906"
"151","A06243"
"151","CE08941"
"151","H33892"
"151","IQ8X047055"
"151","S243434"
"151","S653050"
"154","10-61"
"154","1714"
"154","3253"
"154","3258"
"154","IYTY043178"
"155","135691"
"155","B604107-1"
"159","10541"
"159","38639"
"159","38641"
"159","1YTY052774"
"159","5608"
"159","5615"
"159","1YTY052749"
"152","10371"
"152","10372"
"152","10373"
"152","10374"
"152","10375"
"152","10376"
"152","10377"
"152","9713"
"153","7946"
"153","8186"
"165","11653"
"165","11812"
"166","635-006"
"166","86-05-40-13"
"167","8929"
"167","9583"
"C206","11024"
"C219","8184."
"C219","8544."
"C219","9637."
"C219","H612463W"
"C219","H617236W"
"C219","H617237W"
"C219","H619307W"
"C219","MEZ06626"
"C219","MGX00132"
"C219","NJE10535"
"C220","MEY14861"
"C220","MFY08161"
"C220","NJJ11181"
"C220","NKK10212"
"C230","1-20"
"C230","1-5"
"C230","10"
"C231","-"
"C231","MEX00975"
"C234","12435"
"C234","12435A"
"C236","010189"
"C236","1987"
"C236","50906897"
"C236","51023"
"C236","520881"
"C236","549099/1"
"C236","549099/2"
"C236","576619"
"C236","6023742"
"C236","617141"
"C236","82184"
"C236","82368"
"C236","82371"
"C236","82372"
"C236","880397."
"C236","JC1617"
"c229","JC1317"
"C240","6986"
"C242","7862"
"C244","8077."
"C246","2658"
"C246","EFW07211"
"C248","7946."
"C258","6562A"
"C262","10731"
"C262","10732"
"C262","17670"
"C262","17710"
"C262","17711"
"C262","17735"
"C262","919"
"C264","ZZZ"
"C274","1319"
"C274","1428"
"C274","2028.."
"C274","2045"
"C274","2097"
"C274","3870950008"
"C274","JC1144"
"C274","MFX08330"
"C277","10572"
"C283",".'"
"C283","..,..,N/A"
"C286","29856/97"
"C288","1020"
"C288","254"
"C288","320004"
"LABOUR","05040682"
"159","5883"
"159","5890."
"c200","1115333909"
"c200","51105669"
"c200","604055193"
"c200","60405947"
"c200","60505830"
"c200","815670"
"c200","EFW08694"
"c200","EFW08701"
"c200","EFW08702"
"c200","EFW08710"
"c200","SNR 1115333910"
"152","9714"
"C204","657551"
"C204","NI11104"
"C204","NJF11238"
"C280","AE0535"
"C301","4331"
"C301","4334"
"C301","4336"
"C301","4337"
"C301","J01840"
"C301","J01853"
"C301","J01839"
"115","8646"
"115","037020"
"115","037027"
"115","037030"
"115","037032"
"115","8646A"
"115","OEQ7085540"
"C283","N/A"
"C283","N/A,.,."
"C283","S-770552"
"C283","N/A…,,,"
"C283","N/A…,,,..."
"C217","11814."
"C217","1267."
"C218","1135"
"c223","81419"
"c223","MFZ19800"
"c223","MGZ02813"
"C271","3126/JC1668"
"C271","JC1582"
"C285","2028"
"C285","711979"
"C285","MFX08335"
"C227","49990570021"
"C227","MGX05361"
"c226","MHX03269"
"c226","MHZ10063"
"C284","11976"
"C284","506HO111/2"
"C284","BCD12439"
"C283","...N/A,,,"
"C283",".1011386-3.."
"C283",".N/A........,"
"C283","1215 - BFN"
"C283","47312"
"C283","514097/19"
"C283","77318."
"C283","B-59346"
"C283","C/N 2885"
"123","2121"
"123","4766"
"C287","EFW08693"
"C287","EFW09067"
"C287","EFW09072"
"C302","7444"
"C302","898350"
"C239","1305"
"C319","AEX1767"
"C281","2009279"
"C281","852941."
"282","11972"
"282","11975"
"282","3821"
"282","3832"
"282","6517"
"282","606028"
"282","111..."
"C164","AEX4764"
"C164","7212"
"142","7261"
"104","11016"
"C371","509034872"
"C371","A31010"
"C371","092293"
"C371","0090907"
"C202","JC1097"
"C225","6566"
"C225","6611"
"C225","6627"
"C225","20270042"
"C382","6379"
"C382","56346166"
"C382","00000000000000"
"C10035","AEX1774"
"C10035","7800"
"C10035","7083-010"
"C10035","………..."
"C388","N//A"
"C388","52539"
"C388","1061780"
"C388","1061847"
"C388","10241548"
"C232","7163"
"C228","1022"
"C228","711985"
"C228","960850"
"C228","4022734"
"C228","2073376"
"C301","H95803."
"C296","4661"
"171","4554"
"171","54399"
"171","0135727"
"171","0135728"
"171","0135729"
"C290","03927"
"C290","03931"
"C290","03932"
"C298","4091"
"C298","MFZ19599."
"C298","54843"
"C298","57325"
"C298","58237"
"C298","59365"
"140","4305/"
"140","6020"
"171","0135730"
"C289","1730"
"C289","8434"
"C289","JC1801"
"C289","S-783797"
"100353","AEX6218."
"389","4016"
"C161","31800540133"
"C161","583255"
"C161","EB02352"
"374","W011052"
"374","C12823786"
"374","AEX 9098"
"C298","81409010."
"C237","JC1229"
"C237","MFZ19802"
"140","7964/1"
"140","8332"
"C369","AEX4747"
"C270","18311"
"C270","549098"
"C270","599065"
"C270","614738"
"C270","626261"
"C270","648143"
"C270","711980"
"C270","801224"
"C270","MCS10094-004069"
"C270","MGW04614"
"C330","MHX09754"
"C330","AEX1784"
"C256","..."
"C256","AEX7561"
"C256","5842."
"C256","PE360"
"C256","5897"
"130","10763"
"C203","JC1098"
"C254","812166"
"C254","MHX09750"
"C253","3627"
"C253","8329"
"C253","8431"
"C253","A05981"
"C253","NKK10204"
"C253","481694"
"C278","MFZ13917"
"C278","MFZ19794."
"124","4416"
"124","6248"
"124","J400"
"C249","45320860015"
"C249","A05888"
"C249","DF01728"
"C249","MGW02590"
"C249","MHY06877"
"C249","NJ011298"
"C249","AEX4019"
"C252","EE00243."
"C294","4093"
"C294","P03118"
"C294","P03141"
"C294","P03173"
"C294","P04785"
"C304","637"
"C304","JC1116F"
"375","1046."
"C207","686021"
"C207","72046"
"C207","AEX3087."
"C207","AEX3088."
"C241","11025"
"C241","11401"
"C266","J7706660"
"C266","J7708539"
"C250","00218965"
"C250","00243615"
"C250","64682"
"C208","0389148"
"C208","0389148/"
"C208","050232"
"137","NII111091"
"137","NJC11296"
"137","NKK10201_T"
"137","AEX16844"
"388","6294"
"388","67316"
"388","59608"
"388","NA.-"
"388","032797"
"C245","DF01757."
"C245","MGW04608"
"C245","NIK11031"
"C245","AEX8395"
"C245","AEX1445"
"C245","00000.."
"C245","AE16000840"
"C245","AEX22631"
"106","631002"
"106","HC10130"
"C263","10055"
"C263","10542"
"C263","063532"
"C263","063534"
"C263","063537"
"C263","063533"
"C263","063535"
"C263","063536"
"C263","63918"
"354","4969"
"354","5158"
"354","5159"
"354","5157"
"354","5154"
"354","5156"
"354","5148"
"354","5150"
"354","5142"
"354","5143"
"354","5145"
"354","5147"
"354","5146"
"354","5144"
"354","5160"
"354","5161"
"354","4979"
"C306","4105"
"C306","4454154TY"
"C306","5164622-5JB"
"C306","………..//"
"C306","003848"
"C306","16411"
"C306","16469"
"C306","16497"
"C306","16513"
"C306","81409009"
"C","6158"
"C","76798"
"C","76095"
"C","76814"
"C","76710"
"C279","8496"
"113","A05894"
"113","EFW07174"
"113","EFW07177"
"C211","6911"
"C211","7513"
"C211","7514"
"C211","7929"
"C211","T0036094"
"C211","113875"
"C211","113325"
"C211","OEQ7016776"
"C211","101905"
"C233","6021"
"C233","NKG10934"
"C268","EE02148"
"C293","K92852"
"C293","B23658"
"C293","5080162"
"C293","AEX4054"
"C293","5716"
"C293","44940"
"C293","41841"
"C293","41825"
"C293","28867"
"C299","4555"
"C300","MEZ00636"
"C300","NJJ11189"
"105","6780"
"C380","AEX8860"
"C215","4414"
"C215","71104971"
"C215","83393"
"C215","MGZ02821"
"C235","2727"
"C235","BO42076"
"C235","CE09182"
"C400","7060"
"C400","7107"
"C400","7111"
"C400","7057"
"C266","E1302962"
"C266","2064508"
"C266","2064529"
"C266","E0802545"
"C129","DF01750"
"C129","ML10998"
"C129","AEX6603"
"C129","8221704"
"C129","8221704."
"C129","9104115"
"C344B","0009"
"C297","5327"
"C347","47151"
"C347","49745"
"C347","49762"
"C347","49774"
"C347","47096"
"C347","47268"
"C347","47285"
"C347","52696"
"C347","97229193"
"C347","47476"
"C347","52895"
"C347","52910"
"C347","53216"
"C347","97229191"
"C207","MFZ12727"
"150","9114"
"170","017194"
"170","018419"
"170","018432"
"170","018441"
"170","018624"
"170","018714"
"170","018816"
"170","018830"
"170","018834"
"170","019150"
"170","019113"
"170","019112"
"170","02144975"
"170","7447"
"170","02167523"
"170","02167881"
"170","02187386"
"170","02181396"
"170","10075087"
"170","60977"
"170","61056"
"170","61381"
"170","61384"
"170","004010"
"170","S22055"
"170","004072"
"170","J94697"
"170","54585"
"170","57223"
"170","57658"
"170","57670"
"170","004098"
"170","1322B"
"170","67411"
"170","67442"
"170","67444"
"170","67450"
"170","004009"
"170","1235B"
"170","05045"
"134","1106"
"134","159721"
"134","3465"
"134","3923"
"134","5088"
"134","019091"
"134","019118M"
"134","13801055"
"134","2557573"
"134","2562443"
"134","2462442"
"134","2563452"
"134","2563453"
"134","2563454"
"134","2563455"
"134","2563456"
"134","2567382"
"134","2572609"
"134","2572612"
"134","2572614"
"134","2572610"
"134","021449760"
"134","3861."
"134","2604641"
"134","2589505"
"134","84931"
"134","017821"
"134","H93677"
"C327","AEX2358"
"C327","B6134/1"
"C327","MFY08168"
"C327","MGZ02815"
"C327","MGZ02822"
"C327","12817"
"C327","MHZ03309."
"114","6098"
"119","0054455"
"119","0640"
"119","10314"
"119","10315"
"119","1328"
"119","1707"
"119","6369"
"119","7671"
"119","MB12-01"
"119","00013507"
"119","00013512"
"119","00013515"
"119","00013511"
"119","24161"
"C398","8541"
"C315","AEX4020"
"C315","AEX4021"
"C315","AEX4023"
"C315","AEX4022"
"C315","AEX4018"
"C208","JL944"
"C208","297824"
"C208","2383126"
"C208","2383119"
