"Cust #","Model ID","Serial #","Installation Date","Sales Value","Supplier Inv #","Customer Inv #","Weights&Measures Docket #","Gurantee Expiry Date","In service","Location","Tag ID","Contract #","Calibration Type","Capacity","Minimum Graduation","Sales Person","Select","Adhoc Select","partinfo","Tolerance"
1000,"GEN","8582","23/05/1989",0,"","","","23/11/1989","True","","","","","11kg","1g","UNK","False","False","","1 Division"
1000,"SIN","8582.","23/05/1989",0,"","","","23/05/1990","True","","","","","","","","False","False","","1 Division"
1000,"L33","HK10012","23/02/1989",0,"","1063","","23/02/1990","True","","","","F","","","UNK","False","False","","1 Division"
1000,"WI6","JC1801.","25/05/1999",0,"","","","25/05/2000","True","","","","","","","","False","False","","1 Division"
1000,"A05","NKK10194","16/04/1992",0.01,"","1488","","16/04/1993","True","","","","","600g","0.1g","UNK","False","True","","1 Division"
1000,"AC","AEX8392","01/06/2000",0,"","","","01/12/2000","True","Stores","AES-03","","","3000G","0.1G","","False","False","","1 Division"
1000,"AC","AEX8393","01/06/2000",0,"","","","01/12/2000","True","Stores","AES-01","","","3000G","0.1G","","False","False","","1 Division"
1000,"AC","AEX8394","01/06/2000",0,"","","","01/12/2000","True","Stores","AES-02","","","3000G","0.1G","","False","False","","1 Division"
1000,"TC","DI-12020.","20/07/2005",0,"","","","20/07/2005","True","","ACT-0271","","","60kg","","","False","False","","1 Division"
1000,"V22XW6","8335290468","13/10/2014",0,"","","","13/10/2014","True","","","","","6kg","1g","","False","False","","1 Division"
1001,"WI3","1441","11/05/1996",2200,"","2279","","11/06/1997","False","Shipping","ACS.01","","","1500kg","0.5kg","UNK","False","False","Replaced by Epelsa","1 Division"
1001,"A43","CK20151","09/09/1994",480,"","1844","","09/09/1995","True","","","","","3KG","0.5gr","UNK","False","False","","1 Division"
1001,"A43","CK20156","09/09/1994",480,"","1844","","09/09/1995","True","","","","","3KG","0.5gr","UNK","False","False","","1 Division"
1001,"A43","CL22494","09/09/1994",480,"","1844","","09/09/1995","True","","","","","3KG","0.5gr","UNK","False","False","","1 Division"
1001,"A43","CL22495","09/09/1994",480,"","1844","","09/09/1995","True","","","","","3KG","0.5gr","UNK","False","False","","1 Division"
1001,"A43","DB01554","14/02/1995",480,"","1944","","14/02/1996","True","","","","","3KG","0.5gr","UNK","False","False","","1 Division"
1001,"A43","DB01557","09/09/1994",480,"","1843","","09/09/1995","True","","","","","3kg","0.5g","UNK","False","False","","1 Division"
1001,"A43","DBO1556","09/09/1994",480,"","1843","","09/09/1995","True","","","","","3KG","0.5gr","UNK","False","False","","1 Division"
