"Serial #","Child Serial #"
"017024","44877"
"017024","45079"
"017024","45112"
"017024","45145"
"017181","088013"
"017194","60977"
"017194","61056"
"017194","61381"
"017194","61384"
"017415","27252"
"017415","28653"
"017415","29655"
"017415","30356"
"017541.","A99875"
"018163","004106"
"018163","1241B"
"018163","S49187"
"018164","0003554"
"018164","C19508"
"018419","004010"
"018419","S22055"
"018425","004094"
"018425","1154B"
"018432","004072"
"018436","57215"
"018436","57227"
"018436","57642"
"018436","57657"
"018437","54588"
"018437","56280"
"018437","57640"
"018437","57654"
"018438","S17855"
"018441","J94697"
"018473","J20844."
"018474","R09554"
"018475","R11750"
"018477","R05306"
"018581","58633"
"018581","58665"
"018581","58684"
"018581","58700"
"018624","54585"
"018624","57223"
"018624","57658"
"018624","57670"
"018716","004087"
"018716","1249B"
"018716","58723"
"018716","59413"
"018716","59419"
"018716","59661"
"018730","04266"
"018730","1233B"
"018730","S49191"
"018731","65329"
"018731","65330"
"018731","65335"
"018731","S86033"
"018732","65346"
"018732","65360"
"018732","65370"
"018732","S85994"
"018743","004194"
"018743","1311B"
"018743","67166"
"018743","67176"
"018743","67187"
"018743","67190"
"018800","004100"
"018800","1226B"
"018800","67178"
"018800","67179"
"018800","67191"
"018800","67193"
"018807","004088"
"018807","1310B"
"018807","66926"
"018807","67124"
"018807","67140"
"018807","67156"
"018816","004098"
"018816","1322B"
"018816","67411"
"018816","67442"
"018816","67444"
"018816","67450"
"018819","004016"
"018819","1308B"
"018819","66934"
"018819","67170"
"018819","67182"
"018819","67195"
"018834","004009"
"018834","1235B"
"077687","11654"
"10-61","IYTY043178"
"10055","063532"
"10055","063534"
"10055","063537"
"10471","03090478"
"10473","10473A"
"10542","063533"
"10542","063535"
"017181","004008"
"10542","063536"
"10542","63918"
"10542","63928"
"10542","63932"
"10543","10543A"
"10569","10410"
"10569","10539"
"10569","10701"
"10569","10722"
"107","507809"
"10707","67581"
"10707","67986"
"10707","67987"
"10707","67989"
"10707_T","123X4"
"11031","58044"
"1107","17522"
"1107","18007"
"1107","18089"
"1107","19099"
"11074","503709"
"11074_T","116655_T"
"11211","10007783"
"11212","442296"
"11213.","J92702"
"11216","OEQ7126549"
"11217","070126"
"11217","070339"
"11217","070342"
"11217","070345"
"11291","4376"
"11405","05360105"
"11405","896885"
"11405","NONE..."
"11606","03010479"
"11606","602400"
"11606","IQ8X018358"
"11606","NONE.GIVEN"
"11671","IQ8X016263"
"11713","060714"
"11814","15528"
"11814","15594"
"11814","15604"
"11814","15916"
"11823","713622"
"11823","IQ8X016254"
"11823","IQ8X030687"
"11831","04260311"
"11872","15914"
"11872","15934"
"11872","15985"
"11872","15986"
"11872_T","321X4"
"11972","606028"
"11975","111..."
"12211","05360125"
"12211","781063"
"12211","NONE.."
"12287","R05361"
"1231","18793"
"1231","19041"
"12415","03130449"
"12415","790736"
"12435","12435A"
"12585","18114"
"12585","19061"
"12585","IQ8X047314"
"1267","877483"
"12672","11728"
"12672","11735"
"12672","11740"
"12672","11742"
"12672","IQ8X047055"
"12672_T","140337_T"
"12672_T","25170_T"
"12676","36974"
"12676","37302"
"12676","37334"
"12676","38800"
"12676","IQ8X008765"
"12844","315565"
"12844","38381"
"12844","38396"
"12844","38397"
"12844","38398"
"12844","9604013937"
"13303","00001"
"13303","06465067"
"13553","13553/A"
"13553","13553/B"
"13553","37971"
"13553","37977"
"13553","39054"
"13553","39086"
"157673","128831"
"17184","11493"
"17184","30894"
"1719","212241200005"
"17593","48703"
"17593","48729"
"17593","48744"
"17593","48755"
"1841","P84761"
"1841","P84762"
"1841","P84804"
"1841","P94940"
"20218","IQ8X047332"
"2064 / JC1806","96452176"
"2064 / JC1806","97199320"
"21829","15950"
"21829","21302"
"21829","21695"
"2200","A56146"
"279","10339"
"2984","H53736"
"2984","H75613"
"2984","H8073-2"
"2984","H80764"
"3250","1YT018645"
"32594","30299"
"32594","61327"
"32594","62034"
"32594","62046"
"32594","62056"
"32594","96452171"
"3293D","48981"
"3293D","49710"
"3293D","49748"
"3293D","49790"
"3355","8838"
"3355","9444"
"3355","9871"
"3355","9884"
"3357","23002050"
"3453.","J05937"
"3475","K72746"
"3475","K72768"
"3476","K83670"
"3476","K83671"
"3477","K72756"
"3477","K90700"
"3478","K80021"
"3478","K85849"
"3479","K65991"
"3479","K82798"
"3482","K82031"
"3482","K85867"
"3484","K97348"
"3484","L00906"
"3524","0124466"
"3524","0126936"
"3531","H63581"
"3540","81109110"
"3541","21053"
"3541","32354"
"3541","37968"
"3589","47151"
"3589","49745"
