"Model ID","Weight"
"T15","10kg"
"T15","12kg"
"T15","15kg"
"AH6","1"
"AH6","2"
"AH6","3"
"AH6","5"
"AH6","6"
"A100","10g"
"A100","20g"
"A100","50g"
"A100","60g"
"A100","80g"
"A100","100g"
"CMB","2kg"
"CMB","5kg"
"CMB","10kg"
"CMB","15kg"
"CMB","20kg"
"TF6","10kg"
"TF6","20kg"
"TF6","30kg"
"TF6","40kg"
"TF6","50kg"
"TF6","60kg"
"AFP"," 500g"
"AFP","1000g"
"AFP","1500g"
"AFP","2000g"
"AFP","2500g"
"AFP","3000g"
"8525","10kg"
"8525","20kg"
"8525","30kg"
"8525","40kg"
"8525","60kg"
"CB6","1000g"
"CB6","2000g"
"CB6","3000g"
"CB6","4000g"
"CB6","5000g"
"CB6","6000g"
"C3"," 500g"
"C3","1000g"
"C3","1500g"
"C3","2000g"
"C3","2500g"
"C3","3000g"
"BS30"," 5kg"
"BS30","10kg"
"BS30","15kg"
"BS30","20kg"
"BS30","25kg"
"BS30","30kg"
"BS60","10kg"
"BS60","20kg"
"BS60","30kg"
"BS60","40kg"
"BS60","50kg"
"BS60","60kg"
"C15"," 20kg"
"C15"," 40kg"
"C15"," 60kg"
"C15"," 80kg"
"C15","100kg"
"C15","120kg"
"C15","140kg"
"CB30","5kg"
"CB30","10kg"
"CB30","15kg"
"CB30","20kg"
"CB30","25kg"
"CB30","30kg"
"AE4"," 500g"
"AE4","1000g"
"AE4","1500g"
"AE4","2000g"
"AE4","3000g"
"AE4","3500g"
"AE4","4500g"
"A6","1000g"
"A6","2000g"
"A6","3000g"
"A6","4000g"
"A6","5000g"
"A6","6000g"
"RAN","1kg"
"RAN","2kg"
"RAN","3kg"
"WL","0"
"00L","500"
"00L","1000"
"00L","1500"
"00L","2000"
"00L","2500"
"00L","3000"
"AL6","1"
"QW2","100"
"QW2","200"
"QW2","500"
"QW2","1000"
"QW2","1500"
"QW2","2000"
"WI","20"
"WI","40"
"WI","60"
"WI","80"
"WI","100"
"WI","120"
"WI","150"
"A3","500"
"TCC30","5"
"TCC30","10"
"TCC30","15"
"TCC30","20"
"TCC30","25"
"TCC30","30"
"T3","3000g"
"T3"," 500g"
"T3","1000g"
"T3","1500g"
"T3","2000g"
"T3","2500g"
"P15","10"
"P15","20"
"P15","25"
"P15","30"
"P15","35"
"P15","40"
"P15","90"
"T60","10"
"T60","20"
"T60","30"
"T60","40"
"T60","50"
"T60","60"
"T30","5"
"T30","10"
"T30","15"
"T30","20"
"T30","30"
"T15"," 5kg"
"T15"," 8kg"
"T15"," 1kg"
"T15"," 3kg"
"AG5","500"
"AG5","1000"
"AG5","1500"
"AG5","2000"
"AG5","3000"
"AG5","3500"
"AG5","5000"
