"Model ID","Model Description","Machine Type","Manufacturer","Cert Type","Electronic Mechanical","Default_Capacity","Default_Min_Grad","Default_Gurantee_#_Month","Inservice"
"R32","R323","","RIN","T","E","","",12,"No"
"MPPS","MPPS200","","TAN","T","E","200Kg","0.1Kg",0,"No"
"DEM355","Nova","","M","T","E","","",,"No"
"10L","ADG 10L","","ADM","F","E","10kg","0.001kg",6,"Yes"
"112","1121/50","","BER","T","M","","",,"No"
"121","Avery 1215 BFN","","AVE","F","M","10kg","",0,"No"
"126","1260 Load Cell","","SW","F","M","150kg","",,"No"
"15","DT150J","","MET","T","E","","",0,"No"
"150","Salter WI-150 Ex.","","SAL","T","E","","",,"Yes"
"165","165D","","JSC","T","E","","",,"No"
"189","Weigh-Teck MWT2093M","","189","T","E","","",0,"No"
"1M","1X Mart System","","IFL","T","E","","",,"Yes"
"1X","1X Standard","","IFL","T","E","","",12,"Yes"
"1XA","1X Alpha","","IFL","T","E","","",,"Yes"
"1XS","Alpha Single Line VDU","","IFL","T","E","","",,"Yes"
"1XV","Alpha 5"" VDU","","IFL","T","E","","",,"No"
"202","L202","","AVE","T","E","","",,"No"
"205","0205","","AVE","T","E","","",,"No"
"232","Fibre optic RS232 board","","SAL","F","M","","",0,"No"
"235","Salter 235","","SAL","T","M","50kg","50g",0,"No"
"250","Salter 2500","","SAL","F","M","","",,"No"
"255","255D","","255","T","M","25kg","50g",,"No"
"260","26001","","BER","T","M","","",,"No"
"2X","2X","","IFL","T","E","","",,"Yes"
"3","30011","","BER","T","M","","",,"No"
"300","3001","","BER","T","M","","",,"No"
"301","Piccollo","","BER","F","M","","",,"No"
"303","1X Lab","","IFL","T","E","","",,"No"
"304","ias 600","","IAS","T","E","","",,"No"
"308","Mettler PM15-N","","MET","F","E","","",,"Yes"
"309","IAS 140","","IAS","T","E","","",,"Yes"
"310","IAS","","IAS","T","M","","",,"No"
"311","Mettler Toledo","","MET","F","E","","",,"No"
"312","Mettler S","","MET","T","E","","",0,"No"
"313","Mettler L","","MET","F","E","","",0,"No"
"320","3205","","AVE","T","M","","",,"No"
"328","3208","","AVE","T","M","","",,"No"
"330"," Avery 3303 CGB","","AVE","T","M","28 lbs","",,"No"
"340","Advanced Force Guage","","IAA","F","E","","",,"Yes"
"341","Indicate","","BER","T","E","","",,"No"
"343","Hunter Pring Balance","","IAA","F","E","","",,"Yes"
